Référence Interne,Nom du produit,Prix vente conseillé €HT,Prix vente conseillé €HT,Prix vente €TTC,Prix achat revendeur €HT,Prix achat revendeur €TTC,Eco contribution
BAS-320, Barre Olympique 20KG Cerakote - Signature (Rose By Erin),224.17,235.3785,282.4542,168.13,201.76,11.2085
BAS-415, Barre Olympique 15KG Cerakote - Signature (Noir By Willy),207.5,217.875,261.45,155.63,186.76,10.375
BAS-420, Barre Olympique 20KG Cerakote - Signature (Noir By Willy),224.17,235.3785,282.4542,168.13,201.76,11.2085
BAS-515, Barre Olympique 15KG Cerakote - Signature (Jaune Or By Lucas),207.5,217.875,261.45,155.63,186.76,10.375
BAS-520, Barre Olympique 20KG Cerakote - Signature (Jaune Or  By Lucas),224.17,235.3785,282.4542,168.13,201.76,11.2085
BAT-001, Bâton de Gym - Barre d'échauffement & Mobilité,5,5.25,6.3,3,3.6,0.25
BAW-010, Barre Olympique Courte - Short Bar 10kg - Wod,150,157.5,189,105,126,7.5
BAW-015, Barre Olympique Courte - Short Bar 15kg - Wod,190.83,200.3715,240.4458,133.58,160.3,9.5415
BAZ-001, EZ Curl Bar - Barre EZ,70.83,74.3715,89.2458,49.58,59.5,3.5415
BDS-060-G," Barre de Sécurité (Entrainement - 6cm x 6cm, Galvanisation Brut)",107.5,112.875,135.45,96.75,116.1,5.375
BDS-060-N," Barre de Sécurité (Entrainement - 6cm x 6cm, Noire Grain Fin)",107.5,112.875,135.45,96.75,116.1,5.375
BDS-080-G," Barre de Sécurité (Competition - 8cm x 8cm, Galvanisation Brut)",107.5,112.875,135.45,96.75,116.1,5.375
BDS-080-N," Barre de Sécurité (Competition - 8cm x 8cm, Noire Grain Fin)",107.5,112.875,135.45,96.75,116.1,5.375
BIK-001, Bike Erg - Concept 2,1283.33,1347.4965,1616.9958,1219.16,1462.99,64.1665
BIL-050, 5kg billes d'acier,16.67,17.5035,21.0042,11.67,14,0.8335
BINC-002, Banc de musculation inclinable - Bench,282.5,296.625,355.95,226,271.2,14.125
BLAZ-001, Pod seul Blazepod,79.17,83.1285,99.7542,75.21,90.25,3.9585
BLAZ-004, Kit Blazepod (Kit standard x4),307.5,322.875,387.45,292.13,350.56,15.375
BLAZ-006, Kit Blazepod (Kit Trainer x6),390.83,410.3715,492.4458,371.29,445.55,19.5415
BLAZ-100, Adaptateurs Blazepod pour cône,32.5,34.125,40.95,30.88,37.06,1.625
BLAZ-101, Kit de fixation Blazepod,24.17,25.3785,30.4542,22.96,27.55,1.2085
BLAZ-102, Base de chargement Blazepod,32.5,34.125,40.95,30.88,37.06,1.625
BLAZ-104, Malette de transport Blazepod (Malette pour 4 pods),40.83,42.8715,51.4458,38.79,46.55,2.0415
BLAZ-106, Malette de transport Blazepod (Malette pour 6 pods),45.83,48.1215,57.7458,43.54,52.25,2.2915
BLE-005," Bandes lestées (0,5KG)",7.5,7.875,9.45,3.75,4.5,0.375
BLE-010, Bandes lestées (1KG),10,10.5,12.6,5,6,0.5
BLE-020, Bandes lestées (2KG),13.33,13.9965,16.7958,6.67,8,0.6665
BOP-001, Barre Olympique 20 KG - Powerlifting,235,246.75,296.1,164.5,197.4,11.75
BRE-001, Bandes de poignets souples - Bracelets éponge (Noir),8.25,8.6625,10.395,4.95,5.94,0.4125
BRE-003, Bandes de poignets souples - Bracelets éponge (Bleu),8.25,8.6625,10.395,4.95,5.94,0.4125
BRE-004, Bandes de poignets souples - Bracelets éponge (Rouge),8.25,8.6625,10.395,4.95,5.94,0.4125
BRF-001, Bracelet de Force - Bande Poignet Velcro (Noir),10,10.5,12.6,6,7.2,0.5
BRF-002, Bracelet de Force - Bande Poignet Velcro (Rouge),10,10.5,12.6,6,7.2,0.5
BRF-004, Bracelet de Force - Bande Poignet Velcro (Bleu),10,10.5,12.6,6,7.2,0.5
BRF-006, Bracelet de Force - Bande Poignet Velcro (Sable),10,10.5,12.6,6,7.2,0.5
BRO-100, Kit Brouette Pour Sled Wod (kit uniquement),60,63,75.6,48,57.6,3
CAB-100, Pack de poignées de tirage ergonomiques - Poulie à charge guidée,220,231,277.2,132,158.4,11
CAG-001," Corde à Grimper Climbing Rope - 3,30 à 6 m (6M)",58.33,61.2465,73.4958,35,42,2.9165
CAG-080, Corde Courte de Suspension,24.17,25.3785,30.4542,14.5,17.4,1.2085
CAG-350," Corde à Grimper Climbing Rope - 3,30 à 6 m (3M30)",45.83,48.1215,57.7458,27.5,33,2.2915
CAG-500," Corde à Grimper Climbing Rope - 3,30 à 6 m (4M80)",54.17,56.8785,68.2542,32.5,39,2.7085
CAL-300, Squat Block - Cale Pied Squat,15,15.75,18.9,9,10.8,0.75
CDM-150ML, Crème Magnésie - Myleore (150ML),8.25,8.6625,10.395,6.6,7.92,0.4125
CDM-250ML, Crème Magnésie - Myleore (250ML),12.5,13.125,15.75,10,12,0.625
CEC-001," Ceinture D'Haltérophilie - Compétition (XS, Noir)",15,15.75,18.9,9,10.8,0.75
CEC-101," Ceinture D'Haltérophilie - Compétition (S, Noir)",15,15.75,18.9,9,10.8,0.75
CEC-201," Ceinture D'Haltérophilie - Compétition (M, Noir)",15,15.75,18.9,9,10.8,0.75
CED-001, Ceinture de lestage à chaîne - Dips et tractions,40,42,50.4,28,33.6,2
CEW-001," Ceinture D'Haltérophilie - WOD (XS, Noir)",15,15.75,18.9,9,10.8,0.75
CEW-002," Ceinture D'Haltérophilie - WOD (XS, Rouge)",15,15.75,18.9,9,10.8,0.75
CEW-004," Ceinture D'Haltérophilie - WOD (XS, Bleu)",15,15.75,18.9,9,10.8,0.75
CEW-101," Ceinture D'Haltérophilie - WOD (S, Noir)",15,15.75,18.9,9,10.8,0.75
CEW-102," Ceinture D'Haltérophilie - WOD (S, Rouge)",15,15.75,18.9,9,10.8,0.75
CEW-104," Ceinture D'Haltérophilie - WOD (S, Bleu)",15,15.75,18.9,9,10.8,0.75
CEW-201," Ceinture D'Haltérophilie - WOD (M, Noir)",15,15.75,18.9,9,10.8,0.75
CEW-202," Ceinture D'Haltérophilie - WOD (M, Rouge)",15,15.75,18.9,9,10.8,0.75
CEW-203," Ceinture D'Haltérophilie - WOD (M, Blanc)",15,15.75,18.9,9,10.8,0.75
CEW-204," Ceinture D'Haltérophilie - WOD (M, Bleu)",15,15.75,18.9,9,10.8,0.75
CEW-205," Ceinture D'Haltérophilie - WOD (M, Kaki)",15,15.75,18.9,9,10.8,0.75
CH45, Cerceaux Hexagonaux modulables - Echelle de vitesse,35,36.75,44.1,28,33.6,1.75
CHRO18, Chronomètre - Easy Timer,8.25,8.6625,10.395,6.6,7.92,0.4125
COC-100-G/G, Cotis I (Galva - Brut Extérieure),1050,1102.5,1323,840,1008,52.5
