Référence Interne,Nom du produit, Prix vente conseillé €HT, Prix vente conseillé €HT, Prix vente €TTC, Prix achat revendeur €HT, Prix achat revendeur €TTC, Eco contribution
POE-101, Poids Olympique - Entrainement 2.0 (10KG - Noir Liseret & Impression Vert),"  40,83 € ","  42,87 € ","  51,45 € ","  32,66 € ","  39,19 € ","  2,04 € "
POE-151, Poids Olympique - Entrainement 2.0 (15KG - Noir Liseret & Impression Jaune),"  57,50 € ","  60,38 € ","  72,45 € ","  46,00 € ","  55,20 € ","  2,88 € "
POE-201, Poids Olympique - Entrainement 2.0 (20KG - Noir Liseret & Impression Bleu),"  79,17 € ","  83,13 € ","  99,75 € ","  63,34 € ","  76,01 € ","  3,96 € "
POE-251, Poids Olympique - Entrainement 2.0 (25KG - Noir Liseret & Impression Rouge),"  87,50 € ","  91,88 € ","  110,25 € ","  70,00 € ","  84,00 € ","  4,38 € "
POM-050, Poids Olympique avec poignées - Musculation (5 kg),"  20,00 € ","  21,00 € ","  25,20 € ","  12,00 € ","  14,40 € ","  1,00 € "
POM-100, Poids Olympique avec poignées - Musculation (10 kg),"  32,50 € ","  34,13 € ","  40,95 € ","  19,50 € ","  23,40 € ","  1,63 € "
POM-150, Poids Olympique avec poignées - Musculation (15 kg),"  49,17 € ","  51,63 € ","  61,95 € ","  29,50 € ","  35,40 € ","  2,46 € "
POM-200, Poids Olympique avec poignées - Musculation (20 kg),"  62,50 € ","  65,63 € ","  78,75 € ","  37,50 € ","  45,00 € ","  3,13 € "
POW-050, Poids Olympique - WOD (5KG - Noir Mouchete Blanc),"  24,17 € ","  25,38 € ","  30,45 € ","  15,71 € ","  18,85 € ","  1,21 € "
POW-100, Poids Olympique - WOD (10KG - Noir Mouchete Vert),"  40,83 € ","  42,87 € ","  51,45 € ","  26,54 € ","  31,85 € ","  2,04 € "
POW-150, Poids Olympique - WOD (15KG - Noir Mouchete Jaune),"  54,17 € ","  56,88 € ","  68,25 € ","  35,21 € ","  42,25 € ","  2,71 € "
